state,best,wins
000000000,8,209088
000000001,7,19428
000000002,7,22548
000000010,8,22296
000000011,6,2005
000000012,6,3074
000000020,8,24408
000000021,6,2804
000000022,6,2502
000000100,8,19428
000000101,7,1751
000000102,7,2964
000000110,8,2005
000000111,-3,-1
000000112,5,452
000000120,8,2804
000000121,5,364
000000122,5,468
000000200,8,22548
000000201,7,2964
000000202,7,2086
000000210,8,3074
000000211,5,452
000000212,5,412
000000220,8,2502
000000221,5,468
000000222,-2,1
000001000,8,22296
000001001,2,2005
000001002,7,3074
000001010,8,3016
000001011,6,202
000001012,6,436
000001020,8,2948
000001021,2,301
000001022,6,365
000001100,8,2762
000001101,7,202
000001102,7,432
000001110,8,341
000001111,-3,-1
000001112,4,96
000001120,8,400
000001121,2,67
000001122,4,90
000001200,8,3108
000001201,2,385
000001202,7,377
000001210,8,488
000001211,2,67
000001212,4,84
000001220,8,417
000001221,2,73
000001222,-2,1
000002000,8,24408
000002001,7,2804
000002002,7,2502
000002010,8,2948
000002011,6,301
000002012,6,365
000002020,8,3280
000002021,6,452
000002022,6,322
000002100,8,2838
000002101,7,297
000002102,7,433
000002110,8,353
000002111,-3,-1
000002112,4,86
000002120,8,504
000002121,4,78
000002122,4,90
000002200,8,2864
000002201,7,464
000002202,7,322
000002210,8,448
000002211,4,72
000002212,4,60
000002220,8,449
000002221,4,78
000002222,-2,1
000010000,8,17136
000010001,0,1569
000010002,7,2622
000010010,1,1679
000010011,6,103
000010012,1,301
000010020,8,2694
000010021,0,273
000010022,6,385
000010100,2,1569
000010101,7,143
000010102,2,293
000010110,8,103
000010111,-3,-1
000010112,2,44
000010120,2,273
000010121,2,50
000010122,2,61
000010200,8,2622
000010201,0,293
000010202,7,333
000010210,1,301
000010211,1,44
000010212,1,55
000010220,8,385
000010221,0,61
000010222,-2,1
000011000,3,1679
000011001,3,103
000011002,3,301
000011010,3,162
000011011,6,5
000011012,3,50
000011020,3,297
000011021,3,33
000011022,3,55
000011100,3,202
000011101,7,16
000011102,3,50
000011110,8,16
000011111,-3,-1
000011112,3,9
000011120,3,50
000011121,3,9
000011122,3,10
000011200,3,317
000011201,3,27
000011202,3,55
000011210,3,44
000011211,3,4
000011212,3,10
000011220,3,61
000011221,3,9
000011222,-2,1
000012000,8,2694
000012001,0,273
000012002,7,385
000012010,1,297
000012011,6,33
000012012,1,55
000012020,8,484
000012021,0,55
000012022,6,74
000012100,2,289
000012101,7,33
000012102,2,57
000012110,8,27
000012111,-3,-1
000012112,2,12
000012120,2,61
000012121,2,10
000012122,2,16
000012200,8,432
000012201,0,55
000012202,7,52
000012210,1,55
000012211,1,10
000012212,1,9
000012220,8,70
000012221,0,11
000012222,-2,1
000020000,8,21264
000020001,7,2748
000020002,7,2054
000020010,8,3090
000020011,6,353
000020012,6,365
000020020,8,2230
000020021,6,365
000020022,6,219
000020100,8,2748
000020101,7,285
000020102,7,369
000020110,8,353
000020111,-3,-1
000020112,5,70
000020120,8,365
000020121,5,56
000020122,5,64
000020200,8,2054
000020201,7,369
000020202,7,243
000020210,8,365
000020211,5,70
000020212,5,56
000020220,8,219
000020221,5,64
000020222,-2,1
000021000,8,3090
000021001,2,353
000021002,7,365
000021010,8,484
000021011,6,56
000021012,6,64
000021020,8,377
000021021,2,49
000021022,6,48
000021100,8,416
000021101,7,50
000021102,7,70
000021110,8,79
000021111,-3,-1
000021112,3,13
000021120,8,68
000021121,2,9
000021122,3,14
000021200,8,381
000021201,2,65
000021202,7,48
000021210,8,82
000021211,2,16
000021212,3,14
000021220,8,56
000021221,2,14
000021222,-2,1
000022000,8,2230
000022001,7,365
000022002,7,219
000022010,8,377
000022011,6,49
000022012,6,48
000022020,8,298
000022021,6,56
000022022,6,20
000022100,8,381
000022101,7,55
000022102,7,56
000022110,8,67
000022111,-3,-1
000022112,3,15
000022120,8,64
000022121,3,14
000022122,3,12
000022200,8,322
000022201,7,56
000022202,7,40
000022210,8,56
000022211,3,14
000022212,3,15
000022220,8,40
000022221,3,15
000022222,-2,1
000100000,8,22296
000100001,7,2762
000100002,7,3108
000100010,8,3016
000100011,6,341
000100012,6,488
000100020,8,2948
000100021,6,400
000100022,6,417
000100100,0,2005
000100101,7,202
000100102,0,385
000100110,8,202
000100111,-3,-1
000100112,0,67
000100120,0,301
000100121,0,67
000100122,0,73
000100200,8,3074
000100201,7,432
000100202,7,377
000100210,8,436
000100211,5,96
000100212,5,84
000100220,8,365
000100221,5,90
000100222,-2,1
000101000,4,2331
000101001,4,242
000101002,4,389
000101010,4,381
000101011,6,33
000101012,4,79
000101020,4,357
000101021,4,50
000101022,4,67
000101100,4,242
000101101,7,16
000101102,4,56
000101110,8,33
000101111,-3,-1
000101112,4,14
000101120,4,50
000101121,4,9
000101122,4,14
000101200,4,389
000101201,4,56
000101202,4,61
000101210,4,79
000101211,4,14
000101212,4,15
000101220,4,67
000101221,4,14
000101222,-2,1
000102000,8,3058
000102001,7,384
000102002,7,401
000102010,8,440
000102011,6,73
000102012,6,80
000102020,8,472
000102021,6,72
000102022,6,76
000102100,0,337
000102101,7,50
000102102,0,67
000102110,8,44
000102111,-3,-1
000102112,0,17
000102120,0,55
000102121,0,11
000102122,0,17
000102200,8,432
000102201,7,66
000102202,7,56
000102210,8,66
000102211,4,12
000102212,4,13
000102220,8,64
000102221,4,12
000102222,-2,1
000110000,5,1679
000110001,5,202
000110002,5,317
000110010,5,162
000110011,6,16
000110012,5,44
000110020,5,297
000110021,5,50
000110022,5,61
000110100,5,103
000110101,7,16
000110102,5,27
000110110,8,5
000110111,-3,-1
000110112,5,4
000110120,5,33
000110121,5,9
000110122,5,9
000110200,5,301
000110201,5,50
000110202,5,55
000110210,5,50
000110211,5,9
000110212,5,10
000110220,5,55
000110221,5,10
000110222,-2,1
000111000,-3,-1
000111001,-3,-1
000111002,-3,-1
000111010,-3,-1
000111011,-3,-1
000111012,-3,-1
000111020,-3,-1
000111021,-3,-1
000111022,-3,-1
000111100,-3,-1
000111101,-3,-1
000111102,-3,-1
000111110,-3,-1
000111111,-3,-1
000111112,-3,-1
000111120,-3,-1
000111121,-3,-1
000111122,-3,-1
000111200,-3,-1
000111201,-3,-1
000111202,-3,-1
000111210,-3,-1
000111211,-3,-1
000111212,-3,-1
000111220,-3,-1
000111221,-3,-1
000111222,-3,-1
000112000,8,400
000112001,0,67
000112002,7,74
000112010,1,61
000112011,6,9
000112012,1,13
000112020,8,78
000112021,0,11
000112022,6,18
000112100,2,44
000112101,7,9
000112102,2,12
000112110,8,4
000112111,-3,-1
000112112,2,3
000112120,2,10
000112121,2,4
000112122,2,4
000112200,8,72
000112201,0,11
000112202,7,14
000112210,1,11
000112211,1,4
000112212,1,3
000112220,8,13
000112221,0,3
000112222,-2,1
000120000,8,3090
000120001,7,416
000120002,7,381
000120010,8,484
000120011,6,79
000120012,6,82
000120020,8,377
000120021,6,68
000120022,6,56
000120100,0,353
000120101,7,50
000120102,0,65
000120110,8,56
000120111,-3,-1
000120112,0,16
000120120,0,49
000120121,0,9
000120122,0,14
000120200,8,365
