state,best,wins
000000000,4,-209088
000000001,0,-22548
000000002,6,-19428
000000010,8,-24408
000000011,-1,-2502
000000012,5,-2804
000000020,8,-22296
000000021,4,-3074
000000022,6,-2005
000000100,7,-22548
000000101,-1,-2086
000000102,4,-2964
000000110,-1,-2502
000000111,-2,-1
000000112,5,-468
000000120,4,-3074
000000121,4,-412
000000122,4,-452
000000200,4,-19428
000000201,0,-2964
000000202,7,-1751
000000210,4,-2804
000000211,0,-468
000000212,5,-364
000000220,8,-2005
000000221,0,-452
000000222,-3,1
000001000,8,-24408
000001001,-1,-2502
000001002,7,-2804
000001010,-1,-3280
000001011,-1,-322
000001012,6,-452
000001020,8,-2948
000001021,2,-365
000001022,6,-301
000001100,-1,-2864
000001101,-1,-322
000001102,4,-464
000001110,-1,-449
000001111,-2,-1
000001112,4,-78
000001120,4,-448
000001121,-1,-60
000001122,4,-72
000001200,8,-2838
000001201,2,-433
000001202,7,-297
000001210,8,-504
000001211,2,-90
000001212,4,-78
000001220,8,-353
000001221,2,-86
000001222,-3,1
000002000,8,-22296
000002001,4,-3074
000002002,2,-2005
000002010,8,-2948
000002011,6,-365
000002012,2,-301
000002020,8,-3016
000002021,4,-436
000002022,6,-202
000002100,2,-3108
000002101,7,-377
000002102,2,-385
000002110,8,-417
000002111,-2,-1
000002112,2,-73
000002120,4,-488
000002121,4,-84
000002122,2,-67
000002200,8,-2762
000002201,0,-432
000002202,7,-202
000002210,8,-400
000002211,4,-90
000002212,2,-67
000002220,8,-341
000002221,4,-96
000002222,-3,1
000010000,0,-21264
000010001,-1,-2054
000010002,2,-2748
000010010,-1,-2230
000010011,-1,-219
000010012,1,-365
000010020,6,-3090
000010021,0,-365
000010022,6,-353
000010100,-1,-2054
000010101,-1,-243
000010102,2,-369
000010110,-1,-219
000010111,-2,-1
000010112,-1,-64
000010120,2,-365
000010121,-1,-56
000010122,2,-70
000010200,0,-2748
000010201,0,-369
000010202,7,-285
000010210,1,-365
000010211,-1,-64
000010212,-1,-56
000010220,8,-353
000010221,0,-70
000010222,-3,1
000011000,-1,-2230
000011001,-1,-219
000011002,3,-365
000011010,-1,-298
000011011,-1,-20
000011012,-1,-56
000011020,3,-377
000011021,-1,-48
000011022,6,-49
000011100,-1,-322
000011101,-1,-40
000011102,-1,-56
000011110,-1,-40
000011111,-2,-1
000011112,-1,-15
000011120,-1,-56
000011121,-1,-15
000011122,-1,-14
000011200,3,-381
000011201,-1,-56
000011202,7,-55
000011210,-1,-64
000011211,-1,-12
000011212,-1,-14
000011220,8,-67
000011221,-1,-15
000011222,-3,1
000012000,2,-3090
000012001,0,-365
000012002,2,-353
000012010,1,-377
000012011,-1,-48
000012012,2,-49
000012020,8,-484
000012021,-1,-64
000012022,6,-56
000012100,2,-381
000012101,-1,-48
000012102,2,-65
000012110,-1,-56
000012111,-2,-1
000012112,2,-14
000012120,2,-82
000012121,-1,-14
000012122,2,-16
000012200,8,-416
000012201,0,-70
000012202,7,-50
000012210,-1,-68
000012211,-1,-14
000012212,2,-9
000012220,8,-79
000012221,0,-13
000012222,-3,1
000020000,0,-17136
000020001,7,-2622
000020002,0,-1569
000020010,8,-2694
000020011,6,-385
000020012,0,-273
000020020,1,-1679
000020021,1,-301
000020022,6,-103
000020100,7,-2622
000020101,7,-333
000020102,0,-293
000020110,8,-385
000020111,-2,-1
000020112,0,-61
000020120,1,-301
000020121,1,-55
000020122,1,-44
000020200,2,-1569
000020201,2,-293
000020202,7,-143
000020210,2,-273
000020211,2,-61
000020212,2,-50
000020220,8,-103
000020221,2,-44
000020222,-3,1
000021000,8,-2694
000021001,2,-385
000021002,0,-273
000021010,8,-484
000021011,-1,-74
000021012,0,-55
000021020,1,-297
000021021,1,-55
000021022,6,-33
000021100,8,-432
000021101,-1,-52
000021102,0,-55
000021110,8,-70
000021111,-2,-1
000021112,0,-11
000021120,1,-55
000021121,1,-9
000021122,1,-10
000021200,2,-289
000021201,2,-57
000021202,7,-33
000021210,2,-61
000021211,2,-16
000021212,2,-10
000021220,8,-27
000021221,2,-12
000021222,-3,1
000022000,3,-1679
000022001,3,-301
000022002,3,-103
000022010,3,-297
000022011,3,-55
000022012,3,-33
000022020,3,-162
000022021,3,-50
000022022,6,-5
000022100,3,-317
000022101,3,-55
000022102,3,-27
000022110,3,-61
000022111,-2,-1
000022112,3,-9
000022120,3,-44
000022121,3,-10
000022122,3,-4
000022200,3,-202
000022201,3,-50
000022202,7,-16
000022210,3,-50
000022211,3,-10
000022212,3,-9
000022220,8,-16
000022221,3,-9
000022222,-3,1
000100000,7,-24408
000100001,-1,-2864
000100002,6,-2838
000100010,-1,-3280
000100011,-1,-449
000100012,6,-504
000100020,6,-2948
000100021,4,-448
000100022,6,-353
000100100,-1,-2502
000100101,-1,-322
000100102,0,-433
000100110,-1,-322
000100111,-2,-1
000100112,0,-90
000100120,0,-365
000100121,-1,-60
000100122,0,-86
000100200,8,-2804
000100201,5,-464
000100202,7,-297
000100210,5,-452
000100211,4,-78
000100212,5,-78
000100220,8,-301
000100221,4,-72
000100222,-3,1
000101000,-1,-2774
000101001,-1,-346
000101002,4,-421
000101010,4,-473
000101011,-1,-60
000101012,4,-82
000101020,4,-405
000101021,-1,-64
000101022,6,-61
000101100,-1,-346
000101101,-1,-40
000101102,-1,-74
000101110,-1,-60
000101111,-2,-1
000101112,-1,-18
000101120,-1,-64
000101121,-1,-15
000101122,-1,-18
000101200,4,-421
000101201,-1,-74
000101202,7,-61
000101210,4,-82
000101211,-1,-18
000101212,4,-17
000101220,8,-61
000101221,-1,-18
000101222,-3,1
000102000,2,-3058
000102001,6,-432
000102002,2,-337
000102010,8,-472
000102011,-1,-64
000102012,2,-55
000102020,6,-440
000102021,4,-66
000102022,6,-44
000102100,0,-401
000102101,-1,-56
000102102,2,-67
000102110,-1,-76
000102111,-2,-1
000102112,2,-17
000102120,-1,-80
000102121,0,-13
000102122,2,-17
000102200,8,-384
000102201,4,-66
000102202,7,-50
000102210,8,-72
000102211,4,-12
000102212,2,-11
000102220,8,-73
000102221,1,-12
000102222,-3,1
000110000,-1,-2230
000110001,-1,-322
000110002,5,-381
000110010,-1,-298
000110011,-1,-40
000110012,-1,-64
000110020,5,-377
000110021,-1,-56
000110022,6,-67
000110100,-1,-219
000110101,-1,-40
000110102,-1,-56
000110110,-1,-20
000110111,-2,-1
000110112,-1,-12
000110120,-1,-48
000110121,-1,-15
000110122,-1,-15
000110200,5,-365
000110201,-1,-56
000110202,7,-55
000110210,-1,-56
000110211,-1,-15
000110212,-1,-14
000110220,8,-49
000110221,-1,-14
000110222,-3,1
000111000,-2,-1
000111001,-2,-1
000111002,-2,-1
000111010,-2,-1
000111011,-2,-1
000111012,-2,-1
000111020,-2,-1
000111021,-2,-1
000111022,-2,-1
000111100,-2,-1
000111101,-2,-1
000111102,-2,-1
000111110,-2,-1
000111111,-2,-1
000111112,-2,-1
000111120,-2,-1
000111121,-2,-1
000111122,-2,-1
000111200,-2,-1
000111201,-2,-1
000111202,-2,-1
000111210,-2,-1
000111211,-2,-1
000111212,-2,-1
000111220,-2,-1
000111221,-2,-1
000111222,-2,-1
000112000,2,-448
000112001,-1,-64
000112002,2,-67
000112010,-1,-72
000112011,-1,-15
000112012,2,-13
000112020,6,-84
000112021,0,-13
000112022,6,-14
000112100,-1,-64
000112101,-1,-15
000112102,2,-14
000112110,-1,-12
000112111,-2,-1
000112112,2,-5
000112120,-1,-14
000112121,-1,-4
000112122,2,-5
000112200,8,-72
000112201,0,-13
000112202,7,-10
000112210,1,-13
000112211,-1,-4
000112212,2,-3
000112220,8,-11
000112221,0,-2
000112222,-3,1
000120000,0,-2694
000120001,7,-432
000120002,0,-289
000120010,6,-484
000120011,6,-70
000120012,0,-61
000120020,1,-297
000120021,1,-55
000120022,6,-27
000120100,0,-385
000120101,-1,-52
000120102,0,-57
000120110,-1,-74
000120111,-2,-1
000120112,0,-16
000120120,1,-55
000120121,1,-9
000120122,1,-12
000120200,2,-273
000120201,2,-55
000120202,7,-33
000120210,2,-55
000120211,2,-11
000120212,2,-10
000120220,8,-33
000120221,2,-10
000120222,-3,1
000121000,7,-488
000121001,2,-78
000121002,0,-67
000121010,8,-96
000121011,-1,-18
000121012,0,-15
000121020,1,-67
000121021,1,-13
000121022,6,-9
000121100,0,-78
000121101,-1,-15
000121102,0,-16
000121110,-1,-18
000121111,-2,-1
000121112,0,-5
000121120,1,-13
000121121,1,-3
000121122,1,-4
000121200,2,-67
000121201,2,-16
000121202,7,-9
000121210,2,-15
000121211,2,-5
000121212,2,-4
000121220,8,-9
000121221,2,-4
000121222,-3,1
000122000,0,-400
000122001,7,-72
000122002,2,-44
000122010,8,-78
000122011,6,-13
000122012,2,-10
000122020,1,-61
000122021,1,-11
000122022,6,-4
000122100,0,-74
000122101,-1,-14
000122102,2,-12
000122110,-1,-18
000122111,-2,-1
000122112,2,-4
000122120,1,-13
000122121,1,-3
000122122,2,-3
000122200,2,-67
000122201,2,-11
000122202,7,-9
000122210,2,-11
000122211,2,-3
000122212,2,-4
000122220,8,-9
000122221,2,-4
000122222,-3,1
000200000,4,-22296
000200001,0,-3108
000200002,6,-2762
000200010,6,-2948
000200011,6,-417
000200012,6,-400
000200020,6,-3016
000200021,4,-488
000200022,6,-341
000200100,4,-3074
000200101,7,-377
000200102,7,-432
000200110,8,-365
000200111,-2,-1
000200112,5,-90
000200120,4,-436
000200121,5,-84
000200122,5,-96
000200200,0,-2005
000200201,0,-385
000200202,7,-202
000200210,0,-301
000200211,0,-73
000200212,0,-67
000200220,8,-202
000200221,0,-67
000200222,-3,1
000201000,0,-3058
000201001,2,-401
000201002,7,-384
000201010,8,-472
000201011,-1,-76
000201012,6,-72
000201020,8,-440
000201021,-1,-80
000201022,6,-73
000201100,8,-432
000201101,-1,-56
000201102,4,-66
000201110,-1,-64
000201111,-2,-1
000201112,4,-12
000201120,4,-66
000201121,2,-13
000201122,0,-12
000201200,0,-337
000201201,0,-67
000201202,7,-50
000201210,0,-55
000201211,0,-17
000201212,0,-11
000201220,8,-44
000201221,0,-17
